Sample number 	 Current (A) 	 Absolute value (A) 	 Time (s)


1.000000	18.145265	18.145265	0.010000
2.000000	5.129344	5.129344	0.020000
3.000000	16.598700	16.598700	0.030000
4.000000	14.539124	14.539124	0.040000
5.000000	7.332582	7.332582	0.050000
6.000000	24.612970	24.612970	0.060000
7.000000	-4.223367	4.223367	0.070000
8.000000	11.144956	11.144956	0.080000
9.000000	5.407776	5.407776	0.090000
10.000000	17.650390	17.650390	0.100000
11.000000	5.939497	5.939497	0.110000
12.000000	11.810141	11.810141	0.120000
13.000000	0.908750	0.908750	0.130000
14.000000	6.976177	6.976177	0.140000
15.000000	8.602751	8.602751	0.150000
16.000000	10.979108	10.979108	0.160000
17.000000	-14.537883	14.537883	0.170000
18.000000	24.221514	24.221514	0.180000
19.000000	0.596405	0.596405	0.190000
20.000000	13.579888	13.579888	0.200000
21.000000	2.012032	2.012032	0.210000
22.000000	18.087019	18.087019	0.220000
23.000000	21.426432	21.426432	0.230000
24.000000	21.140993	21.140993	0.240000
25.000000	-11.305476	11.305476	0.250000
26.000000	8.180779	8.180779	0.260000
27.000000	-0.986447	0.986447	0.270000
28.000000	14.521646	14.521646	0.280000
29.000000	4.254811	4.254811	0.290000
30.000000	18.018495	18.018495	0.300000
31.000000	18.464033	18.464033	0.310000
32.000000	1.854532	1.854532	0.320000
33.000000	12.646907	12.646907	0.330000
34.000000	1.068739	1.068739	0.340000
35.000000	11.192847	11.192847	0.350000
36.000000	-9.770326	9.770326	0.360000
37.000000	11.141913	11.141913	0.370000
38.000000	13.613567	13.613567	0.380000
39.000000	-2.781286	2.781286	0.390000
40.000000	7.092350	7.092350	0.400000
41.000000	-10.194197	10.194197	0.410000
42.000000	25.431869	25.431869	0.420000
43.000000	10.850123	10.850123	0.430000
44.000000	8.260359	8.260359	0.440000
45.000000	6.957709	6.957709	0.450000
46.000000	19.381430	19.381430	0.460000
47.000000	8.298879	8.298879	0.470000
48.000000	12.249782	12.249782	0.480000
49.000000	1.006722	1.006722	0.490000
50.000000	13.937022	13.937022	0.500000
51.000000	17.200848	17.200848	0.510000
52.000000	2.988745	2.988745	0.520000
53.000000	20.725597	20.725597	0.530000
54.000000	24.506751	24.506751	0.540000
55.000000	21.916524	21.916524	0.550000
56.000000	14.148455	14.148455	0.560000
57.000000	7.902870	7.902870	0.570000
58.000000	3.807626	3.807626	0.580000
59.000000	8.691190	8.691190	0.590000
60.000000	3.082129	3.082129	0.600000
61.000000	7.124614	7.124614	0.610000
62.000000	12.047929	12.047929	0.620000
63.000000	-3.692551	3.692551	0.630000
64.000000	21.754371	21.754371	0.640000
65.000000	7.692173	7.692173	0.650000
66.000000	-2.900084	2.900084	0.660000
67.000000	13.711044	13.711044	0.670000
68.000000	12.588599	12.588599	0.680000
69.000000	18.387663	18.387663	0.690000
70.000000	2.584274	2.584274	0.700000
71.000000	-4.375430	4.375430	0.710000
72.000000	6.170626	6.170626	0.720000
73.000000	23.860357	23.860357	0.730000
74.000000	2.908635	2.908635	0.740000
75.000000	15.730956	15.730956	0.750000
76.000000	14.841137	14.841137	0.760000
77.000000	-1.363627	1.363627	0.770000
78.000000	-0.713392	0.713392	0.780000
