time (s)	Amplitude (V)	sigma(V)
0.000000	10.743467	2.000000
0.050000	10.773599	2.000000
0.100000	13.051535	2.000000
0.150000	8.198651	2.000000
0.200000	13.563896	2.000000
0.250000	11.252048	2.000000
0.300000	7.007126	2.000000
0.350000	10.818525	2.000000
0.400000	10.148705	2.000000
0.450000	10.307223	2.000000
0.500000	5.116741	2.000000
0.550000	8.290047	2.000000
0.600000	4.614916	2.000000
0.650000	0.293726	2.000000
0.700000	0.889197	2.000000
0.750000	3.639740	2.000000
0.800000	4.851978	2.000000
0.850000	-1.444339	2.000000
0.900000	0.546927	2.000000
0.950000	-0.488904	2.000000
1.000000	4.859543	2.000000
1.050000	-0.189308	2.000000
1.100000	4.998214	2.000000
1.150000	2.045172	2.000000
1.200000	6.025774	2.000000
1.250000	3.208399	2.000000
1.300000	10.431230	2.000000
1.350000	4.766671	2.000000
1.400000	11.702421	2.000000
1.450000	13.899418	2.000000
1.500000	13.500640	2.000000
1.550000	15.346097	2.000000
1.600000	20.653686	2.000000
1.650000	19.503892	2.000000
1.700000	23.613302	2.000000
1.750000	20.043821	2.000000
1.800000	23.424830	2.000000
1.850000	29.263458	2.000000
1.900000	33.193038	2.000000
1.950000	29.079826	2.000000
2.000000	34.959037	2.000000
2.050000	35.602586	2.000000
2.100000	34.231649	2.000000
2.150000	35.935837	2.000000
2.200000	40.724952	2.000000
2.250000	33.691401	2.000000
2.300000	37.407450	2.000000
2.350000	36.638846	2.000000
2.400000	36.487683	2.000000
2.450000	35.319898	2.000000
2.500000	35.279131	2.000000
2.550000	33.525522	2.000000
2.600000	29.912635	2.000000
2.650000	31.395759	2.000000
2.700000	32.323444	2.000000
2.750000	31.722593	2.000000
2.800000	31.854426	2.000000
2.850000	34.652758	2.000000
2.900000	26.615272	2.000000
2.950000	31.170191	2.000000
3.000000	30.160356	2.000000
3.050000	30.101670	2.000000
3.100000	29.301472	2.000000
3.150000	31.170631	2.000000
3.200000	33.753845	2.000000
3.250000	34.439131	2.000000
3.300000	31.786750	2.000000
3.350000	38.426590	2.000000
3.400000	38.916372	2.000000
3.450000	44.174384	2.000000
3.500000	40.269873	2.000000
3.550000	43.271046	2.000000
3.600000	43.512327	2.000000
3.650000	49.374139	2.000000
3.700000	53.722649	2.000000
3.750000	53.121458	2.000000
3.800000	55.336706	2.000000
3.850000	57.997732	2.000000
3.900000	60.364864	2.000000
3.950000	64.691471	2.000000
4.000000	64.470329	2.000000
4.050000	65.082814	2.000000
4.100000	68.726675	2.000000
4.150000	65.925990	2.000000
4.200000	70.831595	2.000000
4.250000	69.981378	2.000000
4.300000	75.217333	2.000000
4.350000	69.978004	2.000000
4.400000	72.266024	2.000000
4.450000	71.621795	2.000000
4.500000	69.037650	2.000000
4.550000	72.634796	2.000000
4.600000	66.015585	2.000000
4.650000	66.091038	2.000000
4.700000	66.842395	2.000000
4.750000	71.547808	2.000000
4.800000	70.409766	2.000000
4.850000	65.507667	2.000000
4.900000	67.314649	2.000000
4.950000	65.975891	2.000000
5.000000	67.869605	2.000000
